open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1697586438000.00,28398.5,28398.5,28397.74,28397.74,1.9741,1697586438999.00,56060.388,20,0.00891,253.0239525,0
1697586439000.00,28397.74,28397.74,28395.7,28395.7,0.03798,1697586439999.00,1078.517773,34,0,0,0
1697586440000.00,28395.64,28395.64,28395.64,28395.64,0.00112,1697586440999.00,31.8031168,2,0.00112,31.8031168,0
1697586441000.00,28395.63,28395.63,28395.63,28395.63,0.002,1697586441999.00,56.79126,3,0,0,0
1697586442000.00,28395.63,28395.63,28395.63,28395.63,0.02064,1697586442999.00,586.0858032,1,0,0,0
1697586443000.00,28395.64,28395.64,28395.63,28395.63,0.29214,1697586443999.00,8295.50111,11,0.17621,5003.595724,0
1697586444000.00,28395.64,28395.64,28395.63,28395.63,0.00728,1697586444999.00,206.7202493,2,0.00629,178.6085756,0
1697586445000.00,28395.63,28395.64,28395.63,28395.63,0.01517,1697586445999.00,430.7617689,4,0.00618,175.4850552,0
1697586446000.00,28395.63,28395.63,28395.63,28395.63,0.02286,1697586446999.00,649.1241018,1,0,0,0
1697586447000.00,28395.64,28395.64,28395.64,28395.64,0.01122,1697586447999.00,318.5990808,4,0.01122,318.5990808,0
1697586448000.00,28395.63,28395.64,28395.63,28395.64,0.0125,1697586448999.00,354.9454711,4,0.00961,272.8821004,0
1697586449000.00,28395.63,28395.63,28395.63,28395.63,0.00488,1697586449999.00,138.5706744,3,0,0,0
1697586450000.00,28395.63,28395.63,28395.63,28395.63,0,1697586450999.00,0,0,0,0,0
1697586451000.00,28395.63,28395.64,28395.63,28395.64,0.00709,1697586451999.00,201.3250665,2,0.00498,141.4102872,0
1697586452000.00,28395.63,28395.63,28395.63,28395.63,0.0003,1697586452999.00,8.518689,1,0,0,0
1697586453000.00,28395.63,28395.63,28395.63,28395.63,0.19533,1697586453999.00,5546.518408,5,0,0,0
1697586454000.00,28395.64,28395.64,28395.64,28395.64,0.17723,1697586454999.00,5032.559277,2,0.17723,5032.559277,0
1697586455000.00,28395.64,28395.64,28395.64,28395.64,0,1697586455999.00,0,0,0,0,0
1697586456000.00,28395.64,28395.64,28395.64,28395.64,0.00035,1697586456999.00,9.938474,1,0.00035,9.938474,0
1697586457000.00,28395.63,28395.63,28395.63,28395.63,0.00122,1697586457999.00,34.6426686,2,0,0,0
1697586458000.00,28395.63,28395.64,28395.63,28395.63,0.06951,1697586458999.00,1973.780417,3,0.01761,500.0472204,0
1697586459000.00,28395.63,28395.63,28395.63,28395.63,0,1697586459999.00,0,0,0,0,0
1697586460000.00,28395.63,28395.63,28392.14,28392.14,1.11559,1697586460999.00,31676.72497,70,0.22231,6311.856643,0
1697586461000.00,28392.14,28392.14,28392.13,28392.14,0.02384,1697586461999.00,676.8684995,5,0.01203,341.5574442,0
1697586462000.00,28392.14,28392.14,28392.14,28392.14,0.01793,1697586462999.00,509.0710702,1,0.01793,509.0710702,0
1697586463000.00,28392.14,28392.14,28392.13,28392.14,0.31788,1697586463999.00,9025.290318,3,0.00335,95.113669,0
1697586464000.00,28392.14,28392.14,28392.14,28392.14,0,1697586464999.00,0,0,0,0,0
1697586465000.00,28392.14,28392.14,28392.13,28392.13,0.26982,1697586465999.00,7660.767205,2,0.26888,7634.078603,0
1697586466000.00,28392.14,28392.14,28392.14,28392.14,0.00849,1697586466999.00,241.0492686,1,0.00849,241.0492686,0
1697586467000.00,28392.14,28392.14,28392.14,28392.14,0,1697586467999.00,0,0,0,0,0
1697586468000.00,28392.13,28392.14,28392.13,28392.14,0.02838,1697586468999.00,805.7687559,8,0.01065,302.376291,0
1697586469000.00,28392.13,28392.13,28390,28390,0.8153,1697586469999.00,23148.05547,44,0.00132,37.4748132,0
1697586470000.00,28390,28390.01,28390,28390.01,0.06119,1697586470999.00,1737.184709,11,0.06094,1730.087209,0
1697586471000.00,28390.01,28390.01,28390.01,28390.01,0.01822,1697586471999.00,517.2659822,3,0.01822,517.2659822,0
1697586472000.00,28390.01,28390.01,28390.01,28390.01,0,1697586472999.00,0,0,0,0,0
